Tipo Institución;Cód. Institución;Nombre Institución;Año Proceso;Nº Laboratorios;M2 Construido;Nº de PC para alumnos;N° Computadores con Internet
Univ.;1001;U. DE CHILE;2024;1.082;67.152;5.201;5.201
Univ.;1001;U. DE CHILE;2023;1.078;65.276;5.083;4.989
Univ.;1001;U. DE CHILE;2022;1.091;64.706;5.325;5.231
Univ.;1001;U. DE CHILE;2021;1.103;65.251;5.190;5.089
Univ.;1001;U. DE CHILE;2020;1.103;65.251;4.718;4.624
Univ.;1001;U. DE CHILE;2019;1.012;69.207;4.280;4.177
Univ.;1001;U. DE CHILE;2018;996;68.435;4.248;4.248
Univ.;1001;U. DE CHILE;2017;956;65.971;3.999;3.905
Univ.;1001;U. DE CHILE;2016;954;65.977;4.024;4.030
Univ.;1001;U. DE CHILE;2015;811;54.977;4.371;3.674
Univ.;1001;U. DE CHILE;2014;797;50.960;5.350;5.350
Univ.;1001;U. DE CHILE;2013;679;49.574;5.333;5.333
Univ.;1001;U. DE CHILE;2012;1.226;110.438;5.496;5.496
Univ.;1001;U. DE CHILE;2011;1.226;109.787;5.089;5.089
Univ.;1001;U. DE CHILE;2010;1.226;109.787;5.077;5.077
Univ.;1001;U. DE CHILE;2009;1.222;96.202;5.072;5.072
Univ.;1001;U. DE CHILE;2008;1.222;92.218;4.681;4.681
Univ.;1001;U. DE CHILE;2007;1.274;79.193;4.296;4.296
Univ.;1001;U. DE CHILE;2006;1.540;60.519;2.283;2.283
Univ.;1001;U. DE CHILE;2005;1.497;47.650;1.884;s/i
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2024;1.766;45.392;s/i;s/i
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2023;1.703;43.921;s/i;s/i
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2022;1.666;42.638;s/i;s/i
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2021;1.665;42.285;s/i;s/i
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2020;1.671;42.270;s/i;s/i
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2019;1.703;43.106;s/i;s/i
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2018;1.541;39.257;s/i;s/i
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2017;1.379;36.138;s/i;s/i
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2016;1.379;36.138;s/i;s/i
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2015;1.392;35.786;s/i;s/i
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2014;1.392;35.786;s/i;s/i
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2012;1.190;33.205;s/i;s/i
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2011;999;32.979;s/i;s/i
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2010;809;29.819;s/i;s/i
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2009;810;29.615;s/i;s/i
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2008;809;29.462;s/i;s/i
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2007;804;29.295;s/i;s/i
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2006;786;27.340;1.731;1.731
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2005;785;26.815;1.550;1.550
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2024;3;142;s/i;s/i
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2023;3;142;s/i;s/i
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2022;3;142;s/i;s/i
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2021;3;142;s/i;s/i
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2020;2;105;s/i;s/i
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2019;1;63;s/i;s/i
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2018;1;63;s/i;s/i
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2017;1;100;s/i;s/i
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2016;2;100;s/i;s/i
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2015;1;63;s/i;s/i
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2014;1;63;s/i;s/i
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2012;1;63;s/i;s/i
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2011;1;63;s/i;s/i
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2007;8;530;s/i;s/i
Univ.;1002;PONTIFICIA U. CATÓLICA DE CHILE;2006;8;530;15;15
Univ.;1003;U. DE CONCEPCIÓN;2024;126;5.403;194;194
Univ.;1003;U. DE CONCEPCIÓN;2023;126;5.403;194;194
Univ.;1003;U. DE CONCEPCIÓN;2022;126;5.403;150;150
Univ.;1003;U. DE CONCEPCIÓN;2021;122;5.384;199;199
Univ.;1003;U. DE CONCEPCIÓN;2020;121;5.351;201;201
Univ.;1003;U. DE CONCEPCIÓN;2024;722;30.524;2.450;2.450
Univ.;1003;U. DE CONCEPCIÓN;2023;720;30.448;2.450;2.450
Univ.;1003;U. DE CONCEPCIÓN;2022;720;30.448;2.551;2.551
Univ.;1003;U. DE CONCEPCIÓN;2021;716;31.112;2.502;2.502
Univ.;1003;U. DE CONCEPCIÓN;2020;693;28.435;1.625;1.625
Univ.;1003;U. DE CONCEPCIÓN;2024;30;1.323;146;146
Univ.;1003;U. DE CONCEPCIÓN;2023;30;1.323;146;146
Univ.;1003;U. DE CONCEPCIÓN;2022;30;1.323;171;171
Univ.;1003;U. DE CONCEPCIÓN;2021;30;1.349;171;171
Univ.;1003;U. DE CONCEPCIÓN;2020;34;1.344;147;147
Univ.;1004;PONTIFICIA U. CATÓLICA DE VALPARAÍSO;2024;87;1.221;s/i;s/i
Univ.;1004;PONTIFICIA U. CATÓLICA DE VALPARAÍSO;2023;87;2.533;s/i;s/i
Univ.;1004;PONTIFICIA U. CATÓLICA DE VALPARAÍSO;2024;18;2.140;s/i;s/i
